Age Range,Industry,Job Title,Annual Salary,Additional Monetary Compensation,Currency,Country,State,City,Years of Professional Experience Overall,Years of Professional Experience in Field,Highest Level of Education Completed,Gender
45-54,Health care,Practice Administrator,69000,5000,USD,United States,Pennsylvania,Bethlehem,11 - 20 years,5-7 years,Master's degree,Woman
35-44,Pharmaceutical ,Senior Clinical Trial Manager,140000,5000,USD,United States,Washington,Seattle,21 - 30 years,21 - 30 years,College degree,Woman
35-44,Utilities & Telecommunications,Category Management Specialist,98000,14000,USD,United States,Virginia,Richmond,11 - 20 years,5-7 years,College degree,Woman
25-34,Media & Digital,Fellow,33000,0,CAD,Canada,Unknown,Montreal,2 - 4 years,2 - 4 years,College degree,Woman
25-34,Computing or Tech,Associate software engineer,87500,0,USD,United States,Massachusetts,Cambridge,5-7 years,2 - 4 years,Master's degree,Woman
45-54,Property or Construction,Community Manager,49920,500,USD,United States,California,Windsor,21 - 30 years,2 - 4 years,College degree,Woman
25-34,Nonprofits,Grants Manager,57000,0,USD,United States,Wisconsin,Milwaukee,8 - 10 years,8 - 10 years,Master's degree,Non-binary
25-34,Media & Digital,Reporter,49000,1500,USD,United States,California,Salinas,11 - 20 years,5-7 years,Master's degree,Woman
35-44,Computing or Tech,VP Analytics,95000,0,USD,United States,California,San Francisco,11 - 20 years,11 - 20 years,Master's degree,Woman
45-54,Transport or Logistics,Sales,65000,0,USD,United States,Washington,Seattle,21 - 30 years,21 - 30 years,Some college,Woman
25-34,Media & Digital,Producer,90000,2000,USD,United States,California,Los Angeles,8 - 10 years,5-7 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Investment Banker,130000,130000,USD,United States,Illinois, Chicago,8 - 10 years,5-7 years,Master's degree,Woman
25-34,Student,"Yoga Teacher, Psychotherapist (student) ",85000,5000,CAD,Canada,Unknown,Waterloo,1 year or less,1 year or less,Master's degree,Woman
35-44,Education (Higher Education),Grants Analyst,52000,0,USD,United States,California,Chico,11 - 20 years,2 - 4 years,Master's degree,Woman
35-44,Education (Higher Education),Librarian,67670,0,USD,United States,Colorado,Fort Collins,11 - 20 years,8 - 10 years,Master's degree,Woman
25-34,Education (Higher Education),Educator,110000,15000,USD,United States,California,Los Angeles,5-7 years,5-7 years,Master's degree,Woman
25-34,Health care,Sterile Processing Technician ,34000,100,USD,United States,Montana,Missoula,5-7 years,5-7 years,College degree,Woman
25-34,Law,Associate,255000,70000,USD,United States,New York,New York City,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Computing or Tech,Senior Project Manager,83000,0,USD,United States,South Carolina,Columbia,11 - 20 years,5-7 years,College degree,Woman
45-54,Law,Family lawyer,95000,2000,CAD,Canada,Unknown,Abbotsford,11 - 20 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Government and Public Administration,Space Scientist,114000,1500,USD,United States,Alabama,Huntsville,11 - 20 years,11 - 20 years,PhD,Woman
45-54,Insurance,Claim Manager,102000,10000,USD,United States,Arizona,Phoenix,21 - 30 years,21 - 30 years,College degree,Man
35-44,life sciences,supervisor,74000,200,USD,united states,Minnesota,Saint Paul,11 - 20 years,11 - 20 years,College degree,Woman
45-54,"Leisure, Sport & Tourism",College Scout,275000,30000,USD,United States,Texas,n/a,21 - 30 years,21 - 30 years,College degree,Man
35-44,Education (Higher Education),"Director, Deputy Chief Conflict of Interest Officer, Assistant Professor",140000,0,USD,United States,Maryland,Baltimore,5-7 years,5-7 years,PhD,Woman
45-54,Government and Public Administration,Tax Examiner ,87000,0,USD,United States,Ohio,Akron,21 - 30 years,21 - 30 years,College degree,Woman
25-34,Computing or Tech,Senior Product Marketing Manager,165000,25000,USD,United States,California,San Francisco,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman
18-24,Media & Digital,Marketing Associate - Video Producer,56000,0,USD,United States,New York,"NYC, remotely for a Boston company",5-7 years,5-7 years,College degree,Non-binary
25-34,Agriculture or Forestry,Farm site manager ,72100,15000,CAD,Canada,Unknown,Campbell River ,8 - 10 years,8 - 10 years,College degree,Other or prefer not to answer
35-44,"Accounting, Banking & Finance",Payroll Specialist,37960,1500,USD,United States,Maryland,Baltimore,21 - 30 years,2 - 4 years,Master's degree,Woman
55-64,Business or Consulting,Executive Assistant,80000,700,USD,United States,Minnesota,Minneapolis,21 - 30 years,5-7 years,Some college,Woman
35-44,Engineering and Environmental Consulting,Project Manager,75000,5000,USD,United States,Massachusetts,Westfield,11 - 20 years,5-7 years,Master's degree,Woman
35-44,"Accounting, Banking & Finance",Accountant,78000,0,AUD/NZD,United States,Unknown,Melbourne,8 - 10 years,8 - 10 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Staff Accountant,42300,2000,USD,United States,Alabama,Birmingham,11 - 20 years,5-7 years,College degree,Woman
55-64,Sales,Inside Sales,54000,28000,USD,United States,Michigan,Grand Rapids,21 - 30 years,11 - 20 years,College degree,Woman
25-34,Restaurant ,Service Manager,55000,0,USD,United States,California,San Jose,8 - 10 years,2 - 4 years,Some college,Non-binary
25-34,Computing or Tech,Principal Software Engineer,92000,1500,USD,United States,Iowa,Dubuque,11 - 20 years,11 - 20 years,College degree,Man
18-24,"Accounting, Banking & Finance",Analyst,100000,40000,USD,United States ,Washington,Seattle,2 - 4 years,2 - 4 years,College degree,Woman
45-54,Transport or Logistics,Administrator,64480,0,USD,United States,Massachusetts,Franklin,21 - 30 years,8 - 10 years,College degree,Woman
35-44,Government and Public Administration,Assistant Director ,119000,4000,AUD/NZD,United States,Unknown,Brisbane,11 - 20 years,8 - 10 years,High School,Woman
25-34,Computing or Tech,Executive Assiatant II,86000,20000,USD,United States,Massachusetts,"HQ us in Cambridge, Ma but moving to the suburbs. I live right outside of Boston.",5-7 years,2 - 4 years,College degree,Woman
25-34,Nonprofits,Communications Manager,56000,0,USD,United States,Ohio,Greater Cleveland,11 - 20 years,8 - 10 years,Master's degree,Woman
25-34,Education (Primary/Secondary),School Counselor,53024,0,USD,United States,Tennessee,Memphis,8 - 10 years,5-7 years,Master's degree,Woman
25-34,Government and Public Administration,Research Civil Engineer,83000,2000,USD,United States,Mississippi,Vicksburg,5-7 years,5-7 years,Master's degree,Woman
35-44,Nonprofits,EA to CEO,35208,0,GBP,United Kingdom,Unknown,Bristol ,11 - 20 years,8 - 10 years,College degree,Woman
35-44,Government and Public Administration,Grants Manager,84000,0,USD,United States,Minnesota,Twin Cities,21 - 30 years,8 - 10 years,College degree,Non-binary
35-44,"Marketing, Advertising & PR",Content Marketing Manager,92000,16000,USD,United States,Ohio,Cincinnati,11 - 20 years,5-7 years,Master's degree,Woman
35-44,Computing or Tech,Senior Project Manager,116000,116000,USD,United States,Indiana,Indianapolis ,8 - 10 years,5-7 years,Some college,Woman
35-44,Utilities & Telecommunications,Program Analyst,50000,1500,USD,United States,Texas,El Paso,11 - 20 years,8 - 10 years,Some college,Woman
25-34,Media & Digital,Merchandising Lead ,88000,0,USD,United States,Massachusetts,Boston,8 - 10 years,5-7 years,Master's degree,Woman
45-54,Health care,Clinician 2,69000,0,USD,United States,Connecticut,East hartford,21 - 30 years,11 - 20 years,Master's degree,Woman
45-54,Computing or Tech,Firmware Tester,100000,10000,CAD,Canada,Unknown,Victoria,21 - 30 years,21 - 30 years,College degree,Woman
35-44,Health care,Scientist II,133000,15000,USD,United States,California,South San Francisco,11 - 20 years,11 - 20 years,College degree,Woman
35-44,Law,In-house Litigation Paralegal,88077,4900,USD,United States,Minnesota,Minneapolis,21 - 30 years,21 - 30 years,College degree,Woman
45-54,Health care,Supervisor,74000,0,USD,United States,Oregon,Portland,21 - 30 years,2 - 4 years,College degree,Woman
35-44,Engineering or Manufacturing,Civil / Environmental Engineer,69000,0,AUD/NZD,New Zealand,Unknown,Auckland,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman
45-54,Engineering or Manufacturing,Engineering Project Manager,127000,15000,USD,United States,Michigan,Troy,21 - 30 years,21 - 30 years,Master's degree,Man
18-24,Nonprofits,Animal Caregiver,24960,50,USD,United States,Vermont,Declined - Rural area,5-7 years,2 - 4 years,College degree,Woman
25-34,Nonprofits,Finance Assistant,37000,0,USD,United States,Texas,Austin,5-7 years,2 - 4 years,College degree,Other or prefer not to answer
25-34,Nonprofits,Program Officer,55000,0,USD,United States,District of Columbia,"Washington, DC",8 - 10 years,8 - 10 years,College degree,Woman
35-44,Nonprofits,Executive Director,52000,5000,USD,United States,Washington,Okanogan,8 - 10 years,1 year or less,PhD,Woman
45-54,Transport or Logistics,Logistics Coordinator,54370,10000,USD,United States,Illinois,Chicago,21 - 30 years,11 - 20 years,Some college,Woman
18-24,"Marketing, Advertising & PR",Written Content Specialist,54075,2000,USD,United States,Indiana,Bloomington,2 - 4 years,2 - 4 years,College degree,Woman
25-34,Education (Higher Education),Library Associate,44000,0,USD,United States,Minnesota,Minneapolis,8 - 10 years,5-7 years,Master's degree,Woman
25-34,Computing or Tech,QA Analyst,72800,1000,USD,United States,Illinois,Prefer not to say,5-7 years,2 - 4 years,College degree,Man
25-34,"Marketing, Advertising & PR",Communications Manager,55000,0,EUR,Germany,Unknown,Munich,2 - 4 years,2 - 4 years,Master's degree,Woman
25-34,Nonprofits,"Director of Media, Outreach and Education",50000,100,USD,United States,California,Los Angeles,5-7 years,5-7 years,College degree,Woman
35-44,Food,Executive Assistant ,47000,600,EUR,France,Unknown,Paris,5-7 years,5-7 years,Master's degree,Woman
25-34,Media & Digital,videogame tester,360000,0,Other,Czech Republic,Unknown,olomouc,2 - 4 years,2 - 4 years,Master's degree,Woman
25-34,Insurance,Predictive Modeler,68600,6000,USD,United States,Michigan,Lansing,5-7 years,2 - 4 years,PhD,Woman
45-54,Nonprofits,Director of Development Operations,109500,0,USD,United States,Massachusetts,Metro Boston,21 - 30 years,11 - 20 years,Master's degree,Woman
25-34,Faith/spirituality,Minister (united church),72000,500,CAD,Canada,Unknown,Toronto,2 - 4 years,2 - 4 years,Master's degree,Woman
25-34,"Marketing, Advertising & PR",Director of Communications,121000,0,USD,United States,New York,New York,8 - 10 years,8 - 10 years,College degree,Woman
35-44,Nonprofits,Controller,110000,0,USD,United States,Washington,Seattle,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,"Accounting, Banking & Finance",Project Coordinator,58000,6000,USD,United States ,Illinois,Chicago ,2 - 4 years,2 - 4 years,College degree,Woman
25-34,Government and Public Administration,Business Technology Liaison ,51600,0,USD,United States,Colorado,Denver,8 - 10 years,2 - 4 years,Master's degree,Non-binary
45-54,Health care,Instructional Designer,78260,4500,USD,United States,California,"Telecommute from Anaheim, CA; employer office in Rancho Cucamonga, CA",21 - 30 years,5-7 years,College degree,Woman
35-44,Education (Higher Education),Communications and Event Coordinator,53000,0,USD,United States,Virginia,Charlottesville,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Health care,Business Conduct Specialist ,66000,5000,EUR,Netherlands,Unknown,Amsterdam ,11 - 20 years,5-7 years,Master's degree,Woman
35-44,Engineering or Manufacturing,Aerospace Engineer,114000,1000,USD,United States,Colorado,Denver,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Biotechnology,Senior Quality Technician,49000,2000,USD,United States,Maryland,Rockville,5-7 years,5-7 years,College degree,Non-binary
25-34,Computing or Tech,Technical support agent,30368,30368,CAD,Canada,Unknown,Prince George ,11 - 20 years,1 year or less,Some college,Woman
35-44,Government and Public Administration,Claims Specialist,77905,1500,USD,United States,Washington,Tacoma,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Government and Public Administration,Library Associate,33384,0,USD,United States,Ohio,Springfield,2 - 4 years,2 - 4 years,Master's degree,Other or prefer not to answer
35-44,Property or Construction,HR Director,85000,10000,USD,United States,Washington,Seattle,21 - 30 years,21 - 30 years,College degree,Woman
35-44,Law,Associate Attorney,170000,10000,USD,United States,"New Jersey, New York",Florham Park,11 - 20 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Computing or Tech,Technology Integration Specialist,86700,0,CAD,Canada,Unknown,"Toronto, Ontario",11 - 20 years,8 - 10 years,Master's degree,Woman
35-44,Computing or Tech,Data Science Manager,220000,150000,USD,United States,New York,New York,11 - 20 years,11 - 20 years,Master's degree,Man
45-54,Education (Primary/Secondary),Administration ,140000,5500,USD,United States,Minnesota,Minneapolis,21 - 30 years,21 - 30 years,Master's degree,Man
35-44,Recruitment or HR,HR Generalist,61000,0,USD,United States,Massachusetts,Boston,11 - 20 years,5-7 years,College degree,Woman
25-34,Social Work,Success Coach,47000,0,CAD,Canada,Unknown,Calgary,8 - 10 years,5-7 years,College degree,Woman
45-54,Education (Higher Education),Professor (full),131500,2000,USD,United States,Indiana,South Bend,21 - 30 years,21 - 30 years,PhD,Woman
25-34,Government and Public Administration,Policy Advisor,87500,0,CAD,Canada,Unknown,Edmonton,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Engineering or Manufacturing,Human Resources Business Partner,90000,9000,USD,United States,Illinois,Quincy,11 - 20 years,11 - 20 years,High School,Woman
25-34,Engineering or Manufacturing,Supervisor ,105000,6000,USD,United States ,Colorado,Boulder,8 - 10 years,8 - 10 years,College degree,Woman
45-54,Government and Public Administration,Program Manager,89000,0,USD,United States,Washington,Seattle,11 - 20 years,11 - 20 years,Master's degree,Woman
45-54,Education (Primary/Secondary),Director of Library Services for Middle and Upper School,57000,25,USD,United States,Florida,Tampa Bay area,31 - 40 years,11 - 20 years,Master's degree,Woman
45-54,Education (Primary/Secondary),Special Education Teacher,73452,18452,USD,United States,New York,Rochester,21 - 30 years,21 - 30 years,Master's degree,Woman
35-44,Education (Primary/Secondary),Teacher,34000,0,USD,United States,North Carolina,Hendersonville ,11 - 20 years,11 - 20 years,College degree,Woman
35-44,Government and Public Administration,Science and technology policy analyst,80000,800,CAD,Canada,Unknown,Ottawa,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Insurance,Adjuster and Analyst,72000,4000,USD,United States,Maryland,Baltimore,5-7 years,2 - 4 years,Master's degree,Woman
35-44,Government and Public Administration,Director of Research,115000,0,USD,United States,Massachusetts,Boston,8 - 10 years,8 - 10 years,Master's degree,Woman
55-64,Funeral,Office Manager,54000,4000,USD,United States,Illinois,Suburban Chicago,21 - 30 years,8 - 10 years,Some college,Woman
25-34,Nonprofits,Scientific Officer,26400,0,GBP,United Kingdom,Unknown,West Sussex,2 - 4 years,2 - 4 years,College degree,Woman
35-44,Education (Higher Education),Digital Scholarship Librarian,55000,0,USD,United States,Ohio,Cleveland,11 - 20 years,8 - 10 years,Master's degree,Woman
25-34,Nonprofits,Digital Marketing Manager,105109,5255,CAD,Canada,Unknown,Toronto,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Nonprofits,Operations Coordinator,44740,0,USD,United States,Ohio,Cleveland,2 - 4 years,2 - 4 years,College degree,Woman
25-34,Utilities & Telecommunications,Assistant project manager,41000,4000,GBP,United Kingdom,Unknown,Glasgow,5-7 years,5-7 years,Some college,Non-binary
25-34,Health care,Advanced Specialist Speech and Language Therapist,40894,0,GBP,United Kingdom,Unknown,Cambridge,8 - 10 years,8 - 10 years,Master's degree,Woman
25-34,Education (Higher Education),Standardized Patient Educator ,76960,10000,USD,United States,Oregon,Portland ,8 - 10 years,8 - 10 years,Master's degree,Woman
25-34,Art & Design,"Designer, Sweaters ",80000,0,USD,United States,New York,New York ,8 - 10 years,8 - 10 years,College degree,Woman
35-44,Government and Public Administration,Vice President,170000,0,CAD,Canada,Unknown,Toronto,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Recruitment or HR,IT Recruiter,80000,15000,USD,United States,Maryland,Columbia,8 - 10 years,5-7 years,College degree,Woman
25-34,Computing or Tech,Project manager,105000,15000,USD,United States,Texas,Dallas,8 - 10 years,5-7 years,Master's degree,Woman
25-34,Entertainment,Sr Programming Manager,76000,10000,USD,United States,California,Los Angeles,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Education (Higher Education),Quality Assurance,45000,1000,USD,United States,Utah,Slc,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Nonprofits,Human Resources Manager,65000,0,USD,United States,California,"Santa Barbara, CA",8 - 10 years,2 - 4 years,College degree,Woman
35-44,Nonprofits,Senior Policy Counsel,85000,0,USD,United States,District of Columbia,Washington,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Government and Public Administration,Chief of Staff,85000,0,USD,United States,Pennsylvania,Philadelphia,8 - 10 years,5-7 years,Master's degree,Woman
35-44,Education (Higher Education),EU project manager,60000,0,EUR,Netherlands,Unknown,Utrecht,11 - 20 years,2 - 4 years,Master's degree,Woman
35-44,Computing or Tech,Data and Analytics Product Manager,135000,0,USD,United States,Oregon,Portland,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Computing or Tech,Application Support Engineer,155000,2000,USD,United States,Wisconsin,Verona,11 - 20 years,11 - 20 years,Master's degree,Woman
65 or over,Property or Construction,Community Manager,50000,600,USD,United States,New Mexico,Santa Fe,31 - 40 years,2 - 4 years,Master's degree,Woman
25-34,Education (Higher Education),Assistant Professor ,64000,0,USD,United States,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,PhD,Woman
25-34,Education (Higher Education),Executive Assistant to the Dean for Research ,60000,1500,USD,United States,District of Columbia,Washington DC,8 - 10 years,2 - 4 years,College degree,Woman
45-54,Computing or Tech,Engineering Manager,196800,12000,USD,United States,Virginia,Fairfax,21 - 30 years,21 - 30 years,College degree,Woman
25-34,Health care,Scheduling Specialist,34900,0,USD,United States,Wisconsin,La Crosse,11 - 20 years,2 - 4 years,Some college,Woman
25-34,Education (Higher Education),Data & Systems Analyst,37840,0,GBP,United Kingdom,Unknown,Reading,5-7 years,5-7 years,Some college,Woman
35-44,Health care,Primary care physician ,207000,25000,USD,United States,Massachusetts,Worcester,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman
45-54,Health care,Senior Clinical Psychologist,50575,0,GBP,United Kingdom,Unknown,London,31 - 40 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Property or Construction,Project Services Manager,70000,15000,USD,United States,Texas,Fort Worth,11 - 20 years,2 - 4 years,Some college,Woman
25-34,Business or Consulting,Membership Director,120000,133000,USD,United States,Colorado,Denver,8 - 10 years,5-7 years,Unknown,Woman
35-44,Government and Public Administration,Compliance Director,75000,0,USD,United States,Maryland,Annapolis,21 - 30 years,11 - 20 years,Some college,Woman
55-64,Education (Primary/Secondary),Paraeducator,50000,0,USD,United States,Washington,Kirkland,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Education (Higher Education),Part-time Faculty ,20000,0,USD,United States,Kentucky,Lexington ,11 - 20 years,5-7 years,Master's degree,Non-binary
25-34,Nonprofits,Information Manager,35000,0,GBP,United Kingdom,Unknown,"London, UK",8 - 10 years,5-7 years,Master's degree,Woman
25-34,Education (Higher Education),PhD Graduate student,40000,0,USD,United States,Massachusetts,Boston,5-7 years,5-7 years,College degree,Woman
25-34,"Marketing, Advertising & PR",Content Marketing Manager,65000,1000,USD,United States,Pennsylvania,Bethlehem,5-7 years,5-7 years,College degree,Woman
25-34,Learning and Development,Senior Education Specialist,62000,500,USD,United States,New York,Albany,8 - 10 years,5-7 years,College degree,Man
35-44,Law,Conflicts Analyst,109000,7000,USD,United States ,District of Columbia,DC,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Recruitment or HR,Recruiting Assistant,34000,0,USD,United States,Pennsylvania,Mechanicsburg,2 - 4 years,2 - 4 years,College degree,Woman
35-44,Government and Public Administration,Youth Services Librarian,38000,0,USD,United States,Virginia,Waynesboro,8 - 10 years,8 - 10 years,Master's degree,Woman
25-34,Computing or Tech,Software Engineer,190000,15000,USD,United States,Virginia,Reston,8 - 10 years,8 - 10 years,Master's degree,Woman
35-44,Computing or Tech,Operations Manager,70000,1500,USD,United States,Alabama,Huntsville,11 - 20 years,8 - 10 years,Some college,Woman
55-64,Education (Primary/Secondary),School Librarian,80000,0,USD,United States,Massachusetts,Needham,31 - 40 years,31 - 40 years,Master's degree,Woman
25-34,"Marketing, Advertising & PR",Associate Digital Marketing Manager,93000,9300,USD,United States,California,San Diego,2 - 4 years,2 - 4 years,Master's degree,Woman
25-34,Nonprofits,Associate Director of Development,52000,0,USD,United States,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree,Woman
25-34,Education (Higher Education),Assistant Director,50000,0,USD,United States,Illinois,Central IL,2 - 4 years,2 - 4 years,Master's degree,Woman
25-34,Publishing,Editorial Assistant,45000,1000,USD,United States,New York,New York City ,2 - 4 years,2 - 4 years,Master's degree,Woman
25-34,Health care,Analyst,42000,1000,USD,United States,Washington,Tacoma,2 - 4 years,2 - 4 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Compliance Analyst,80000,7500,USD,United States,Texas,Dallas,5-7 years,5-7 years,College degree,Woman
25-34,Recruitment or HR,Senior HR Business Partner,122500,32375,USD,United States,California,San Francisco,8 - 10 years,5-7 years,College degree,Woman
35-44,Computing or Tech,Systems Administrator,90000,0,USD,United States,Massachusetts,Watertown (Greater Boston area),11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Government and Public Administration,Library Director,84000,0,USD,United States,Illinois,Shorewood,21 - 30 years,21 - 30 years,Master's degree,Woman
45-54,Government and Public Administration,State government lawyer,125000,0,USD,United States,New Jersey,Trenton,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Education (Higher Education),Adjunct professor,36000,0,USD,United States,Massachusetts,"Cambridge, MA",8 - 10 years,5-7 years,Master's degree,Woman
35-44,Business or Consulting,Global EA,50500,0,GBP,United Kingdom,Unknown,London,21 - 30 years,11 - 20 years,College degree,Woman
35-44,Nonprofits,Registrar,75212,3000,USD,United States,California,San Francisco,8 - 10 years,8 - 10 years,Master's degree,Woman
25-34,"Marketing, Advertising & PR",Account Coordinator ,45000,2500,USD,United States,Florida,Orlando,2 - 4 years,1 year or less,College degree,Woman
25-34,Government and Public Administration,Outreach and DIgital Resources Librarian,43000,1500,USD,United States,Montana,Helena,8 - 10 years,8 - 10 years,Master's degree,Woman
25-34,Law,assocaite,280000,80000,USD,united states,California,San Francisco,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Media & Digital,Video Content Producer,63000,4000,USD,United States,Texas,Austin,8 - 10 years,8 - 10 years,Master's degree,Woman
25-34,Education (Higher Education),Process Manager,61200,0,USD,United States,Minnesota,Minneapolis,11 - 20 years,11 - 20 years,College degree,Man
35-44,Computing or Tech,Technical Writer,75000,20000,USD,United States,Georgia,Cumming,11 - 20 years,11 - 20 years,College degree,Woman
45-54,"Marketing, Advertising & PR",Program Manager,123050,20000,USD,United States,Washington,Seattle,21 - 30 years,11 - 20 years,Master's degree,Woman
18-24,Data Analytics,Analyst,55000,3000,USD,United States,Alabama,Birmingham,2 - 4 years,1 year or less,College degree,Man
25-34,Nonprofits,Archives & Records Manager,52000,0,USD,United States,New York,New York City,11 - 20 years,5-7 years,Master's degree,Man
25-34,Data Entry,Data Entry,31000,300,USD,United States,Colorado,Denver,8 - 10 years,5-7 years,Some college,Woman
45-54,Computing or Tech,Software Engineer,115000,10000,USD,United States,Washington,Seattle,21 - 30 years,5-7 years,Master's degree,Man
25-34,Nonprofits,Finance & HR Manager,63000,500,USD,United States,District of Columbia,Remotely in NC for DC employer,8 - 10 years,5-7 years,College degree,Man
35-44,Sales,Electrical cable and wire sales ,62000,30000,CAD,Canada,Unknown,Winnipeg,11 - 20 years,2 - 4 years,College degree,Man
45-54,Media & Digital,Editor,135987,9519,USD,United States,District of Columbia,WASHINGTON,21 - 30 years,21 - 30 years,College degree,Woman
35-44,Translation,Operations (Other),75000,5000,USD,United States,New York,New York,8 - 10 years,5-7 years,College degree,Other or prefer not to answer
18-24,Property or Construction,Assistant Property Manager ,31680,2000,USD,United States,Oregon,Eugene,5-7 years,2 - 4 years,Some college,Woman
45-54,Engineering or Manufacturing,Quality Manager,46000,0,USD,United States,Virginia,Forest ,21 - 30 years,5-7 years,Master's degree,Woman
25-34,"Marketing, Advertising & PR",Graphic Designer,124800,0,USD,United States,Virginia,Charlottesville,11 - 20 years,2 - 4 years,Master's degree,Woman
35-44,Health care,Speech Language Pathologist,48000,0,USD,United States,Tennessee,Memphis,21 - 30 years,2 - 4 years,Master's degree,Non-binary
35-44,Insurance,Executive Assistant,65000,20000,USD,United States,Texas,Dallas,11 - 20 years,5-7 years,Master's degree,Woman
45-54,"Accounting, Banking & Finance",Accountant III,56409,0,USD,United States ,Georgia,Savannah,21 - 30 years,11 - 20 years,Master's degree,Woman
25-34,Computing or Tech,Account Executive,60000,20000,USD,United States,District of Columbia,"Washington, DC",5-7 years,2 - 4 years,College degree,Man
25-34,Retail,Optician,38000,400,USD,United States,Iowa,Cedar Rapids,8 - 10 years,2 - 4 years,College degree,Woman
25-34,"Marketing, Advertising & PR",Marketing Manager ,83000,15000,CAD,Canada,Unknown,Chilliwack,8 - 10 years,5-7 years,College degree,Woman
35-44,Computing or Tech,Data Scientist,170000,0,USD,United States,District of Columbia,"Washington, DC",11 - 20 years,5-7 years,PhD,Woman
18-24,Recruitment or HR,Executive Assistant,30000,5000,GBP,United Kingdom,Unknown,London,2 - 4 years,2 - 4 years,College degree,Woman
25-34,Business or Consulting,Grant Writer,24000,0,USD,United states,Texas,Mission,2 - 4 years,2 - 4 years,Some college,Non-binary
45-54,Education (Primary/Secondary),teacher,109769,250,USD,United States,California,San Jose,21 - 30 years,21 - 30 years,College degree,Woman
25-34,Computing or Tech,Scientist,90000,7000,USD,United States,Colorado,Boulder,2 - 4 years,2 - 4 years,PhD,Woman
35-44,Health care,Senior Compensation Analyst,66500,0,USD,United States,Virginia,Williamsburg ,11 - 20 years,8 - 10 years,Master's degree,Woman
35-44,Nonprofits,Project specialist ,36000,0,EUR,Spain ,Unknown,Barcelona ,11 - 20 years,8 - 10 years,Master's degree,Woman
35-44,Law,Senior Associate (Lawyer),340000,100000,USD,United States,Texas,Austin,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman
45-54,"Marketing, Advertising & PR",EA to CEO,76200,7600,GBP,United Kingdom,Unknown,London,21 - 30 years,21 - 30 years,Some college,Woman
45-54,Utilities & Telecommunications,Project Coordinator,77000,1540,USD,United States,Washington,Everett,21 - 30 years,2 - 4 years,Some college,Woman
45-54,Retail,accountant,90000,0,USD,United States,Minnesota,Twin Cities,21 - 30 years,21 - 30 years,College degree,Woman
35-44,Insurance,New Business,41447,2500,USD,United States,Virginia,Alexandria,21 - 30 years,8 - 10 years,Some college,Woman
35-44,Engineering or Manufacturing,Laboratory manager,46400,0,EUR,Netherlands,Unknown,Utrecht,11 - 20 years,11 - 20 years,College degree,Woman
55-64,Nonprofits,Acquistions and Development Manager,115000,4000,USD,United States,California,San Francisco,31 - 40 years,21 - 30 years,College degree,Woman
25-34,Computing or Tech,Executive Assistant ,71500,13500,USD,United States,Virginia,Arlington,8 - 10 years,8 - 10 years,College degree,Woman
18-24,Education (Higher Education),Graduate Employee,38000,4700,USD,United States,Oregon,Eugene,1 year or less,1 year or less,College degree,Unknown
45-54,Nonprofits,non-profit adult training,52000,0,USD,United States,Alaska,anchorage,11 - 20 years,2 - 4 years,College degree,Woman
45-54,Wholesale and retail trade,Executive Assistant,25000,0,GBP,United Kingdom,Unknown,Sheffield,21 - 30 years,21 - 30 years,Some college,Woman
25-34,Education (Higher Education),Senior Communications Coordinator,85000,0,USD,United States,Wisconsin,Milwaukee,11 - 20 years,8 - 10 years,College degree,Woman
